Państwo,Rate_1,Rate_2
Afganistan,1,2
Albania,8,7.5
Algieria,7.5,7.5
Andora,8,7
Angola,2,8
Antigua i Barbuda,0,7
Arabia Saudyjska,0,3
Argentyna,9,9
Armenia,3,4
Australia,10,10
Austria,5,6
Azerbejdżan,7,9.5
Bahamy,1,3.5
Bahrajn,2,5
Bangladesz,2,2
Barbados,2,3
Belgia,5,5
Belize,1,1
Benin,1,2
Bhutan,1,2.5
Białoruś,1,1
Boliwia,4,3.5
Bośnia i Hercegowina,7.5,7.5
Botswana,1,2
Brazylia,6,6
Brunei,3,3
Bułgaria,2,2
Burkina Faso,3,3.5
Burundi,6,4
Chile,7,9
Chiny,3,9
Chorwacja,8,8
Cypr,8,8
Czad,1,1.5
Czarnogóra,9,7.5
Czechy,6,6
Dania,7,7.5
Demokratyczna Republika Konga,2,3
Dominika,3,4
Dominikana,7,8
Dżibuti,1,1
Egipt,6,6
Ekwador,9,7
Erytrea,1,1
Estonia,9,9
Eswatini,1,1.5
Etiopia,2,3
Fidżi,5,4
Filipiny,5,6
Finlandia,4,5.5
Francja,6,5
Gabon,1,1.5
Gambia,4,2
Ghana,6,5.5
Grecja,8,5
Grenada,4,4
Gruzja,9,8.5
Gujana,6,4.5
Gwatemala,3,3
Gwinea,5,2
Gwinea Bissau,2,2
Gwinea Równikowa,4,3
Haiti,1,6
Hiszpania,10,10
Holandia,10,10
Honduras,1,1
Indie,3,4
Indonezja,5,8
Irak,1,1
Iran,1,1
Irlandia,9,8
Islandia,10,10
Izrael,8,5
Jamajka,2,6
Japonia,10,10
Jemen,1,1
Jordania,1,1
Kambodża,1,2
Kamerun,6,6.5
Kanada,9,9
Katar,2,5
Kazachstan,3,3
Kenia,5,5.5
Kirgistan,1,1
Kiribati,2,2
Kolumbia,3,3
Komory,1,3
Kongo,8,3.5
Korea Południowa,9,10
Korea Północna,1,8
Kostaryka,4,3
Kuba,1,7
Kuwejt,1,1
Laos,2,2
Lesotho,1,4
Liban,3,2
Liberia,2,3
Libia,2,2
Lichtenstein,7,8
Litwa,5,4
Luksemburg,6,7.5
Łotwa,8,8
Macedonia Północna,2,4
Madagaskar,9,7
Malawi,2,2
Malediwy,7,6
Malezja,6,7
Mali,2,2
Malta,8,10
Maroko,10,7
Mauretania,7,4
Mauritius,6,3
Meksyk,10,8
Mikronezja,7,7
Mjanma,1,1
Mołdawia,1,1
Monako,7,9
Mongolia,5,5
Mozambik,7,5
Namibia,7,5
Nauru,1,3
Nepal,8,9
Niemcy,6,6
Niger,1,1
Nigeria,5,6
Nikaragua,1,1
Norwegia,9,9
Nowa Zelandia,10,10
Oman,1,1
Pakistan,2,2
Palau,2,2
Panama,4,6.5
Papua-Nowa Gwinea,8,5
Paragwaj,6,6
Peru,10,9
Polska,3,3
Południowa Afryka,6,4
Portugalia,8,7.5
Republika Środkowoafrykańska,1,1
Republika Zielonego Przylądka,4,4
Rosja,1,2
Rumunia,3,2
Rwanda,5,3
Saint Kitts i Nevis,4,4
Saint Lucia,3,3
Saint Vincent i Grenadyny,2,4
Salwador,1,2
Samoa,7,5
San Marino,5,8
Senegal,7,6
Serbia,1,1
Seszele,7,7
Sierra Leone,4,2
Singapur,9,10
Słowacja,5,3
Słowenia,7,9
Somalia,1,1
Sri Lanka,4,4
Stany Zjednoczone,10,9
Sudan,1,1
Sudan Południowy,1,1
Surinam,2,2
Syria,1,1
Szwajcaria,8,8
Szwecja,8,10
Tadżykistan,3,3
Tajlandia,9,9
Tanzania,8.5,9
Timor Wschodni,4,2
Togo,3,3
Tonga,5,5
Trynidad i Tobago,5,6
Tunezja,5,4
Turcja,2,4
Turkmenistan,2.5,4
Tuvalu,4,6
Uganda,3,3
Ukraina,1,3
Urugwaj,6,7
Uzbekistan,4,5
Vanuatu,10,6
Watykan,5,6
Wenezuela,1,3
Węgry,8,2
Wielka Brytania,10,6
Wietnam,8,8
Włochy,9,7.5
Wybrzeże Kości Słoniowej,6,6
Wyspy Marshalla,4,5
Wyspy Salomona,4,5
Wyspy Świętego Tomasza i Książęca,5,6
Zambia,5,2
Zimbabwe,6,5
Zjednoczone Emiraty Arabskie,5,7
Kosowo,5,6
Tajwan,7,9
