,Country,2021 r.,Rate_1,Rate_2,Rate_PKB,Users_rate_avg,Capital,Coordinates,User_coordinates,Distance,Distance_rate,Summary
0,Hiszpania,30090.0,10.0,10.0,3.8994228279237166,10.0,Madryt,"40°25′04″N, 3°41′41″W","52°13′56″N, 21°00′30″E",2293.238533094702,4.351831475852055,18.251254303775774
1,Gruzja,5014.0,9.0,8.5,4.816607047497824,8.75,Tbilisi,"41°43′N, 44°47′E","52°13′56″N, 21°00′30″E",2138.528293077047,4.395559289812818,17.96216633731064
2,Estonia,27282.0,9.0,9.0,4.002128733513288,9.0,Tallinn,"59°26′N, 24°45′E","52°13′56″N, 21°00′30″E",835.0034927373829,4.7639918509412125,17.7661205844545
3,Czarnogóra,9350.0,9.0,7.5,4.658012743140138,8.25,Podgorica,"42°28′N, 19°16′E","52°13′56″N, 21°00′30″E",1093.568409472378,4.690910207641599,17.598922950781734
4,Holandia,58292.0,10.0,10.0,2.867901478409083,10.0,"Amsterdam (stolica konstytucyjna), Haga (stolica administracyjna)","52°22′N, 4°54′E","52°13′56″N, 21°00′30″E",1096.7212207788004,4.69001908662566,17.557920565034742
5,Maroko,3620.0,10.0,7.0,4.867594238520566,8.5,Rabat,"34°01′31″N, 6°50′10″W","52°13′56″N, 21°00′30″E",3003.20405767333,4.151164471691329,17.5187587102119
6,Azerbejdżan,5398.0,7.0,9.5,4.802561795451386,8.25,Baku,"40°23′N, 49°52′E","52°13′56″N, 21°00′30″E",2558.5056786831146,4.276855492420907,17.329417287872293
7,Malta,33329.0,8.0,10.0,3.780952589959108,9.0,Valletta,"35°53′52″N, 14°30′45″E","52°13′56″N, 21°00′30″E",1886.2230369123567,4.4668716819442835,17.24782427190339
8,Albania,6375.0,8.0,7.5,4.766826870322821,7.75,Tirana,"41°19′N, 19°49′E","52°13′56″N, 21°00′30″E",1216.804440285887,4.656078368274915,17.172905238597735
9,Chorwacja,16818.0,8.0,8.0,4.3848618517787,8.0,Zagrzeb,"45°48′N, 15°58′E","52°13′56″N, 21°00′30″E",804.3228310677132,4.772663534635397,17.157525386414097
10,Łotwa,20581.0,8.0,8.0,4.247225696959057,8.0,Ryga,"56°58′N, 24°08′E","52°13′56″N, 21°00′30″E",564.2450269659234,4.84051991927208,17.087745616231135
